smiles,Z1,Z2,E_Z1,E_Z2,E_Z1_H,E_Z2_H,Eb_homo_Z1,Eb_homo_Z2,Eb_homo_Z1_H,Eb_homo_Z2_H
CC,6.0,6.0,-15.495151676211979,-15.495100060376576,-9.603430039928938,-9.603109732406452,-5.511897593056037,-5.511845977220634,-3.0926006653187814,-3.0922803577962954
CN,6.0,7.0,-15.762646862407394,-21.198492332947975,-9.693569089423889,-6.871720023431571,-5.779392779251452,-6.817799142710122,-3.1827397148137324,-2.1434449873582384
CO,6.0,8.0,-15.984990403871379,-28.10308267925923,-9.815292840902192,-3.6020672952947272,-6.0017363207154375,-8.160981358065658,-3.3044634662920354,-1.0607764283811902
CF,6.0,9.0,-16.1570757989954,-36.41084395945731,-9.849559763152762,0.0,-6.173821715839459,-9.182250745824337,-3.338730388542605,0.0
NN,7.0,7.0,-21.529840862048253,-21.53309042684704,-6.888434030742771,-6.895162808779719,-7.1491476718104,-7.152397236609186,-2.1601589946694384,-2.166887772706386
NO,7.0,8.0,-21.77523488072037,-28.507622150363254,-6.961223473701582,-3.6181794512717054,-7.394541690482516,-8.565520829169682,-2.2329484376282496,-1.0768885843581684
NF,7.0,9.0,-22.037180684325204,-36.97539235081065,-7.057149239772473,0.0,-7.656487494087351,-9.746799137177678,-2.32887420369914,0.0
OO,8.0,8.0,-28.898188105491833,-28.898322738739314,-3.685131040099975,-3.6851634673161695,-8.956086784298261,-8.956221417545741,-1.143840173186438,-1.1438726004026325
OF,8.0,9.0,-29.060518855941915,-37.28677389213252,-3.7157710746608865,0.0,-9.118417534748342,-10.05818067849955,-1.1744802077473495,0.0
FF,9.0,9.0,-37.52463075812933,-37.52514039025523,0.0,0.0,-10.296037544496354,-10.296547176622258,0.0,0.0
