smiles,Z1,Z2,d,energy,bfe
CC,6.0,6.0,1.518780373264654,-79.75020381667125,-0.1563417274406333
CN,6.0,7.0,1.4532125413552244,-95.77729088200276,-0.147946983557162
CO,6.0,8.0,1.4091224592805072,-115.63726184251789,-0.1570112050391969
CF,6.0,9.0,1.3759806887586437,-139.65381012527862,-0.182879937851311
NN,7.0,7.0,1.4149718115929455,-111.78492208255534,-0.1200963748947572
NO,7.0,8.0,1.4099594451967332,-131.6224144214765,-0.1066819747828162
NF,7.0,9.0,1.4081079073271787,-155.62569363242076,-0.1192816357784352
OO,8.0,8.0,1.4370138053150638,-151.45310628399008,-0.0864670982633128
OF,8.0,9.0,1.4064608790223787,-175.43941883776586,-0.0821001020904645
FF,9.0,9.0,1.37565054,-199.40853494750544,-0.0605366618814002
[SiH3][SiH3],14.0,14.0,2.339980376004195,-582.3382520812738,-0.1226289045074509
[SiH3]P,14.0,15.0,2.255979727184867,-633.6037996852834,-0.1175065851080034
[SiH3]S,14.0,16.0,2.137692778981142,-689.8614287727096,-0.1436446489055924
[SiH3]Cl,14.0,17.0,2.053817641789501,-751.2786914997457,-0.1757626007326962
PP,15.0,15.0,2.227766855463781,-684.8565801992219,-0.0996171756373769
PS,15.0,16.0,2.1128938628966982,-741.1014143037187,-0.1129602565056302
PCl,15.0,17.0,2.0621157311029266,-802.5050758963962,-0.1314770739741106
SS,16.0,16.0,2.046159514392657,-797.3314885275432,-0.1115434567016109
SCl,16.0,17.0,2.02358035333454,-858.7154279857035,-0.1103381396529812
ClCl,17.0,17.0,1.98248352,-920.0894085488976,-0.0991739276380485
[GeH3][GeH3],32.0,32.0,2.421582832704244,-4157.07252403476,-0.1146197230718826
[GeH3][AsH2],32.0,33.0,2.426876541966213,-4315.3412678196855,-0.1023131794399887
[GeH3][SeH],32.0,34.0,2.357309303312649,-4480.42503914708,-0.1189293278821423
[GeH3]Br,32.0,35.0,2.3095946211122165,-4652.430336935936,-0.1412552593928921
[AsH2][AsH2],33.0,33.0,2.4539238845188804,-4473.605475564297,-0.085470595494371
[AsH2][SeH],33.0,34.0,2.381642494198999,-4638.681646157312,-0.0944860095578405
[AsH2]Br,33.0,35.0,2.346513003820189,-4810.679451502339,-0.1093194972390847
[SeH][SeH],34.0,34.0,2.324854891375496,-4803.749097810907,-0.0947824842014597
[SeH]Br,34.0,35.0,2.31391069678682,-4975.731475679127,-0.0941884950743769
BrBr,35.0,35.0,2.2813368,-5147.706715670903,-0.0864566295049371
